"","town","townUK","latuk","lonuk","lat","lon","geom"
"771","Horb am Neckar","Haslemere",51.09,-0.712,48.4453,8.6911,"LINESTRING (-0.712 51.09, 8.6911 48.4453)"
"772","Hordaland","Cardiff",51.4833,-3.1833,60.25,6,"LINESTRING (-3.1833 51.4833, 6 60.25)"
"773","Horsham, Victoria","Horsham",51.062,-0.325,-36.7167,142.2,"LINESTRING (-0.325 51.062, 142.2 -36.7167)"
"774","Horwich","Crowborough",51.06,0.16,53.592,-2.54,"LINESTRING (0.16 51.06, -2.54 53.592)"
"790","Houdan","Pangbourne",51.4839,-1.0869,48.79,1.6,"LINESTRING (-1.0869 51.4839, 1.6 48.79)"
"791","Houffalize","Sherborne",50.9469,-2.5171,50.1333,5.7833,"LINESTRING (-2.5171 50.9469, 5.7833 50.1333)"
"795","Houilles","Chesham",51.703,-0.602,48.9261,2.1892,"LINESTRING (-0.602 51.703, 2.1892 48.9261)"
"796","Höxter","Sudbury, Suffolk",52.0417,0.7282,51.7667,9.3667,"LINESTRING (0.7282 52.0417, 9.3667 51.7667)"
"797","Hückelhoven","Hartlepool",54.69,-1.21,51.0608,6.2197,"LINESTRING (-1.21 54.69, 6.2197 51.0608)"
"798","Hürth","Thetford",52.41,0.74,50.8775,6.8761,"LINESTRING (0.74 52.41, 6.8761 50.8775)"
"800","Huy","Bury St Edmunds",52.2474,0.7183,50.5167,5.2333,"LINESTRING (0.7183 52.2474, 5.2333 50.5167)"
"801","Ifs, Calvados","Ilfracombe",51.208,-4.12,49.1389,-0.3519,"LINESTRING (-4.12 51.208, -0.3519 49.1389)"
"802","Ilsfeld","Ottery St Mary",50.752,-3.279,49.05,9.25,"LINESTRING (-3.279 50.752, 9.25 49.05)"
"804","Ingelheim am Rhein","Stevenage",51.9,-0.2,49.9747,8.0564,"LINESTRING (-0.2 51.9, 8.0564 49.9747)"
"805","Iserlohn","Wrexham",53.0463,-2.9932,51.3833,7.6667,"LINESTRING (-2.9932 53.0463, 7.6667 51.3833)"
"806","Isernhagen","Peacehaven",50.8,0,52.4342,9.8572,"LINESTRING (0 50.8, 9.8572 52.4342)"
"809","Ito District, Wakayama","Gillingham, Kent",51.3792,0.5498,34.214,135.557,"LINESTRING (0.5498 51.3792, 135.557 34.214)"
"810","Itteville","Newick",50.98,0.02,48.5152,2.3416,"LINESTRING (0.02 50.98, 2.3416 48.5152)"
"812","Jászberény","Durham, England",54.7761,-1.5733,47.5,19.9167,"LINESTRING (-1.5733 54.7761, 19.9167 47.5)"
"816","Jičín","King's Lynn",52.7543,0.3976,50.4367,15.3517,"LINESTRING (0.3976 52.7543, 15.3517 50.4367)"
"817","Jinan","Coventry",52.4081,-1.5106,36.6667,116.9833,"LINESTRING (-1.5106 52.4081, 116.9833 36.6667)"
"818","Jinja, Uganda","London Borough of Barnet",51.6254,-0.1527,0.4244,33.2042,"LINESTRING (-0.1527 51.6254, 33.2042 0.4244)"
"819","Johannesburg","Birmingham",52.4831,-1.8936,-26.2044,28.0456,"LINESTRING (-1.8936 52.4831, 28.0456 -26.2044)"
"820","Joigny","Godalming",51.18,-0.61,47.9831,3.3978,"LINESTRING (-0.61 51.18, 3.3978 47.9831)"
"823","Judenburg","Sherborne",50.9469,-2.5171,47.1725,14.6603,"LINESTRING (-2.5171 50.9469, 14.6603 47.1725)"
"827","Juillé, Sarthe","Tetford",53.25,-0.01,48.2458,0.1217,"LINESTRING (-0.01 53.25, 0.1217 48.2458)"
"829","Kabale","Tiverton, Devon",50.903,-3.488,-1.25,29.99,"LINESTRING (-3.488 50.903, 29.99 -1.25)"
"830","Kadoma, Zimbabwe","Stevenage",51.9,-0.2,-18.34,29.9,"LINESTRING (-0.2 51.9, 29.9 -18.34)"
"831","Kaiserslautern","London Borough of Newham",51.5167,0.0333,49.4447,7.7689,"LINESTRING (0.0333 51.5167, 7.7689 49.4447)"
"833","Kaiserslautern","Rotherham",53.4301,-1.3572,49.4447,7.7689,"LINESTRING (-1.3572 53.4301, 7.7689 49.4447)"
"839","Kalisz","Preston, Lancashire",53.759,-2.699,51.7667,18.0833,"LINESTRING (-2.699 53.759, 18.0833 51.7667)"
"840","Kanpur","Manchester",53.4667,-2.2333,26.4607,80.3334,"LINESTRING (-2.2333 53.4667, 80.3334 26.4607)"
"841","Kapelle","Melton Mowbray",52.7661,-0.886,51.4833,3.95,"LINESTRING (-0.886 52.7661, 3.95 51.4833)"
"842","Kaposvár","Bath, Somerset",51.38,-2.36,46.3638,17.7823,"LINESTRING (-2.36 51.38, 17.7823 46.3638)"
"843","Kardzhali","East Staffordshire",52.808,-1.6457,41.65,25.3667,"LINESTRING (-1.6457 52.808, 25.3667 41.65)"
"844","Karkkila","Sherborne",50.9469,-2.5171,60.5333,24.2167,"LINESTRING (-2.5171 50.9469, 24.2167 60.5333)"
"848","Karlsruhe","Nottingham",52.95,-1.1333,49.0092,8.404,"LINESTRING (-1.1333 52.95, 8.404 49.0092)"
"849","Katwijk","Waveney",52.4831,1.7561,52.2,4.4167,"LINESTRING (1.7561 52.4831, 4.4167 52.2)"
"850","Kawasaki, Kanagawa","Sheffield",53.3836,-1.4669,35.5167,139.7,"LINESTRING (-1.4669 53.3836, 139.7 35.5167)"
"851","Kecskemét","Coventry",52.4081,-1.5106,46.9061,19.6897,"LINESTRING (-1.5106 52.4081, 19.6897 46.9061)"
"852","Kelkheim","High Wycombe",51.6287,-0.7482,50.1378,8.4497,"LINESTRING (-0.7482 51.6287, 8.4497 50.1378)"
"853","Kemi","Newtownards",54.591,-5.68,65.7361,24.5636,"LINESTRING (-5.68 54.591, 24.5636 65.7361)"
"854","Kempen, Germany","East Cambridgeshire",52.387,0.294,51.3658,6.4194,"LINESTRING (0.294 52.387, 6.4194 51.3658)"
"855","Kettering, Ohio","Kettering",52.3931,-0.7229,39.6972,-84.1522,"LINESTRING (-0.7229 52.3931, -84.1522 39.6972)"
"856","Kevelaer","Bury St Edmunds",52.2474,0.7183,51.5833,6.25,"LINESTRING (0.7183 52.2474, 6.25 51.5833)"
